103RD ST,103 ST?103 ST-CORONA
104TH ST-102ND ST?104TH ST-OXFORD AV,104 ST
110TH ST?110TH ST-CENTRAL PARK NORTH,110 ST?CENTRAL PK N110
111TH ST?111TH ST-GREENWOOD AV,111 ST
116TH ST,116 ST
116TH ST-COLUMBIA UNIVERSITY,116 ST-COLUMBIA
121ST ST,121 ST
125TH ST,125 ST
135TH ST,135 ST
137TH ST-CITY COLLEGE,137 ST CITY COL
138TH ST?138TH ST-3RD AVE,138/GRAND CONC
145TH ST,145 ST
#149TH ST-3RD AV
149TH ST-GRAND CONCOURSE,149/GRAND CONC
14TH ST,14 ST?14TH STREET
14TH ST-UNION SQUARE,UNION SQUARE?14 ST-UNION SQ
155TH ST,155 ST
157TH ST,157 ST?57 ST-7 AV
163RD ST - AMSTERDAM AV,163 ST-AMSTERDM
167TH ST,167 ST
168TH ST?168TH ST - WASHINGTON HEIGHTS?168 ST
169TH ST,169 ST
170TH ST,170 ST
174-175TH STS,174-175 STS
174TH ST,174 ST
175TH ST,175 ST
176TH ST,176 ST
181ST ST,181 ST
182ND-183RD STS,182-183 STS
183RD ST,183 ST
18TH AV,18 AV
18TH ST,18 ST
190TH ST,190 ST
191ST ST,191 ST
1ST AV,1 AV
207TH ST,207 ST
20TH AV,20 AV
215TH ST,215 ST
219TH ST,219 ST
21ST ST,21 ST?21 ST-QNSBRIDGE
225TH ST,225 ST
231ST ST,231 ST
233RD ST,233 ST
238TH ST?238TH ST-NEREID AV,238 ST
23RD ST,23 ST
LONG ISLAND CITY-COURT SQUARE?23RD ST-ELY AV,COURT SQ?COURT SQ-23 ST
25TH AV,25 AV
25TH ST,25 ST
28TH ST,28 ST
2ND AV,2 AV
30 AV-GRAND AV,30 AV
33RD ST,33 ST
34TH ST,34 ST-HERALD SQ?34 ST-HUDSON YD?34 ST-PENN STA
36 AV-WASHINGTON AV,36 AV
36TH ST,36 ST
39 AV-BEEBE AV,39 AV
3RD AV,3 AV?3 AV 138 ST?3 AV-149 ST
45 RD-COURT HOUSE SQ
45TH ST,45 ST
47-50TH STS ROCKEFELLER CENTER,47-50 STS ROCK
