"column2","column3","column4"
"United Talmudical Seminary","40.705700","-73.959161"
"Vaughn College of Aeronautics and Technology","40.768348","-73.881721"
"CUNY Bernard M Baruch College","40.740238","-73.983417"
"Touro College","40.742172","-73.989932"
"DeVry College of New York","40.747567","-73.983187"
"CUNY Hostos Community College","40.817601","-73.927363"
"Teachers College at Columbia University","40.810311","-73.960399"
"Manhattan Institute","40.749130","-73.986135"
"Berkeley College-New York","40.754043","-73.979577"
"School of Visual Arts","40.738742","-73.982240"
"CUNY Kingsborough Community College","40.576446","-73.934779"
"CUNY Graduate School and University Center","40.748503","-73.983575"
"Weill Cornell Medical College","40.764738","-73.954839"
"CUNY Queens College","40.737771","-73.815387"
"College of Staten Island CUNY","40.603949","-74.148701"
"Sanford-Brown Institute-New York","40.735309","-73.987865"
"Technical Career Institutes","40.750572","-73.996048"
"CUNY Bronx Community College","40.857185","-73.909742"
"CUNY Hunter College","40.768669","-73.964795"
"CUNY Lehman College","40.873928","-73.894627"
"American Musical and Dramatic Academy","40.780142","-73.982249"
"CUNY Medgar Evers College","40.666256","-73.957076"
"CUNY LaGuardia Community College","40.744500","-73.935057"
"Brooklyn Law School","40.692662","-73.990535"
"Monroe College","40.864070","-73.900501"
"Gerstner Sloan-Kettering Graduate School of Biomedical Sciences","40.765115","-73.957420"
"Columbia University in the City of New York","40.808286","-73.961885"
"CUNY John Jay College of Criminal Justice","40.770675","-73.988381"
"CUNY Borough of Manhattan Community College","40.718790","-74.011826"
"Pratt Institute-Main","40.691154","-73.962149"
"CUNY City College","40.819794","-73.950550"
"Apex Technical School","40.750420","-73.941511"
"CUNY Brooklyn College","40.631912","-73.953120"
"CUNY New York City College of Technology","40.695483","-73.987856"
"CUNY System Office","40.771370","-73.947836"
"Fordham University","40.861183","-73.889578"
