PARSONS BLVD,MO16,4040.0
BURKE AV,WE12,2473.75
182-183 STS,SA20,1564.0
METROPOLITAN AV,WE4,10930.0
FT HAMILTON PKY,SA0,545.5
HUNTERS PT AV,FR12,6638.0
TREMONT AV,WE20,2724.75
181 ST,TH8,25912.0
WORLD TRADE CTR,TH8,8786.0
GUN HILL RD,FR16,9314.25
COURT SQ-23 ST,TH0,339.0
CITY HALL,FR8,3424.0
QUEENS PLAZA,SU20,1282.25
HOWARD BCH JFK,SA8,2922.25
RIT-ROOSEVELT,TU20,1343.75
GRD CNTRL-42 ST,FR8,101056.058797
104 ST,TH12,2247.0
BLEECKER ST,WE4,3980.0
ROOSEVELT ISLND,MO12,4718.0
RECTOR ST,TH12,15840.0
ROOSEVELT ISLND,MO8,7829.0
GRAND ST,WE4,9030.0
175 ST,WE0,347.0
18 AV,WE16,9372.75
176 ST,SA4,2257.0
14 ST,TU0,6976.25
CONEY IS-STILLW,MO0,3618.25
MT EDEN AV,FR16,4998.8
CHURCH AV,TU4,42341.75
FT HAMILTON PKY,TH12,10192.5178571
181 ST,FR20,5835.0
V.CORTLANDT PK,SA12,4113.625
KNICKERBOCKER,SU8,2037.25
BOTANIC GARDEN,WE12,2415.25
LAFAYETTE AV,FR4,2244.5
GROVE STREET,TU8,34404.5482309
FRANKLIN ST,TU8,3893.25
GREENPOINT AV,MO0,555.0
23 ST,FR4,22172.75
BROOK AV,TH4,6373.25
5 AVE,FR20,5520.0
WILSON AV,TH16,2065.0
ORCHARD BEACH,FR12,13.0
68ST-HUNTER CO,SU0,1760.25
OCEAN PKWY,SA12,2464.0
149/GRAND CONC,WE0,1141.0
BEACH 90 ST,SA0,91.25
CLARK ST,TH8,9017.0
BROOKLYN BRIDGE,SA20,5142.0
UTICA AV,MO12,12604.65
BUSHWICK AV,SA12,2005.0
81 ST-MUSEUM,MO0,853.0
CLINTON-WASH AV,SA20,3501.75
OCEAN PKWY,FR20,663.0
KINGSTON-THROOP,TH12,5264.0
NEWKIRK AV,FR12,5911.5
81 ST-MUSEUM,TH0,2456.5
25 ST,SU8,1607.0
W 4 ST-WASH SQ,MO8,17264.75
STEINWAY ST,SA12,11406.5
45 ST,TU20,1127.0
V.CORTLANDT PK,TH4,9715.0
BEDFORD PK BLVD,TU8,12836.8191824
169 ST,TU0,355.0
CITY / BUS,TU20,3136.74432383
110 ST,FR12,13011.0
MYRTLE-WILLOUGH,WE16,3892.75
CYPRESS AV,MO16,3031.9341637
BROAD ST,MO8,1907.25
MT EDEN AV,FR0,700.04
LEXINGTON AV/53,FR20,14396.0
174 ST,SU0,678.0
INWOOD-207 ST,SA12,7417.05813823
PARKSIDE AV,WE0,606.25
W 8 ST-AQUARIUM,TU0,57.0
215 ST,TH4,1235.0
ROCKAWAY PARK B,SU16,1064.25
190 ST,WE16,3303.0
NORWOOD 205 ST,WE0,1866.5
2 AV,SA16,14767.0
88 ST,WE12,1722.0
ELMHURST AV,TH0,519.4
CASTLE HILL AV,SU16,2105.0
CANAL ST,WE20,45847.375
21 ST-QNSBRIDGE,MO4,4819.0
135 ST,WE4,14943.25
KEW GARDENS,TH20,6583.625
BEACH 36 ST,TU4,1719.0
NEW UTRECHT AV,TU20,1529.75
ALLERTON AV,SA16,2979.25
174-175 STS,SU20,1248.0
BEACH 105 ST,FR4,372.75
LEXINGTON AV/63,MO12,9516.0
174-175 STS,MO4,4515.0
GRAND-NEWTOWN,FR0,450.0
MARCY AV,TU0,1347.0
AVENUE N,SA0,141.25
PROSPECT PARK,WE0,993.0
JAMAICA VAN WK,FR4,5273.0
BOWLING GREEN,TH8,22710.0
ST. GEORGE,TU20,4009.0
65 ST,WE0,224.25
THIRTY THIRD ST,TU0,2889.39001323
FOREST HILLS 71,TU20,8826.0
96 ST,WE20,34989.25
BOROUGH HALL,MO8,26983.0
FRESH POND RD,MO8,5867.25
157 ST,WE20,3599.5
SOUTH FERRY,FR16,13304.0
OZONE PK LEFFRT,SA20,1639.0
EXCHANGE PLACE,WE16,24351.7543732
5 AVE,SA12,4685.0
121 ST,TH0,245.0
BOWERY,MO16,5004.0
FULTON ST,TH16,146579.75
8 ST-NYU,TU16,25447.0
MORGAN AV,SA4,1500.0
LONGWOOD AV,MO8,2615.75
WESTCHESTER SQ,SU16,1747.0
77 ST,TU12,44317.75
JKSN HT-ROOSVLT,WE4,40938.0
WAKEFIELD/241,TH4,6361.5
50 ST,TU4,8990.0
57 ST,SA20,6492.0
BEACH 98 ST,MO12,723.5
THIRTY THIRD ST,MO12,15882.955264
NORWOOD AV,FR8,1964.93125
PARKCHESTER,WE16,8364.25
18 AV,TU0,433.25
61 ST WOODSIDE,TH4,21618.75
207 ST,TU12,7161.0
20 AV,FR12,4483.75
FAR ROCKAWAY,WE8,4359.0
NEVINS ST,SU16,4704.0
14TH STREET,TU4,2762.4787037
SPRING ST,SA4,873.0
MORGAN AV,FR20,4707.5
20 AV,SA16,2794.5
WHITLOCK AV,TU20,514.0
JFK JAMAICA CT1,SU0,1121.51905626
GRAND-NEWTOWN,TU12,11943.0
30 AV,MO20,3240.0
KINGS HWY,TH4,27395.0
GUN HILL RD,MO16,7597.25
UNION ST,SU16,2669.0
21 ST-QNSBRIDGE,SA12,5548.0
CRESCENT ST,MO20,1125.75
68ST-HUNTER CO,SU12,13043.0
72 ST,MO4,20215.75
BAY RIDGE-95 ST,TH4,5765.0
KNICKERBOCKER,FR0,264.5
59 ST,WE12,71531.0
125 ST,SU4,10934.75
E 180 ST,MO0,1157.5
JAMAICA CENTER,MO12,25176.0
47-50 STS ROCK,FR16,119536.0
JAMAICA 179 ST,TU8,19613.0
15 ST-PROSPECT,TU4,6253.875
8 AV,MO20,23405.25
EXCHANGE PLACE,WE20,7032.68161065
MORGAN AV,TH8,10043.0
COURT SQ-23 ST,SA12,2673.0
PAVONIA/NEWPORT,TH4,13390.2186207
111 ST,SU0,1135.75
EUCLID AV,SU8,4917.0
UNION ST,TH16,6464.0
ASTORIA BLVD,TU8,21175.0
JOURNAL SQUARE,WE4,24802.6684536
SHEEPSHEAD BAY,MO12,9198.25
90 ST-ELMHURST,SA8,14021.0
GRAHAM AV,SU0,1139.0
ATLANTIC AV,TH4,1557.0
BEVERLY RD,TU16,2308.0
66 ST-LINCOLN,SU0,3660.75
PELHAM BAY PARK,FR20,2148.0
47-50 STS ROCK,TH12,45580.0
BOWLING GREEN,WE0,1886.5
BLEECKER ST,MO12,10543.0
20 AV,SA8,4814.0
FORDHAM RD,SU20,5954.0
ZEREGA AV,TH8,2697.0
CENTRAL PK N110,FR20,3207.0
STERLING ST,TH0,233.0
BUHRE AV,FR20,563.25
TIMES SQ-42 ST,SU16,64154.0
QUEENSBORO PLZ,TU12,12723.0
EXCHANGE PLACE,TU0,837.86035227
CONEY IS-STILLW,SU8,6755.0
34 ST-HUDSON YD,TU12,9047.0
34 ST-HUDSON YD,MO0,400.0
BROAD ST,FR8,2850.25
65 ST,MO12,2960.5
FAR ROCKAWAY,FR20,1258.0
HARRISON,TH8,13398.9039264
FLATBUSH AV-B.C,FR0,1755.25
FRANKLIN AV,WE4,12627.25
KNICKERBOCKER,TH8,4584.0
110 ST,TH4,8591.0
NEPTUNE AV,SA4,502.75
UTICA AV,TU4,18062.7
TOMPKINSVILLE,WE20,344.0
40 ST LOWERY ST,FR4,7644.0
MORGAN AV,SU16,5363.0
PARKCHESTER,FR4,23764.25
125 ST,TU20,34960.5
79 ST,SU12,15496.75
BURKE AV,MO20,849.5
CASTLE HILL AV,SU20,1332.0
PARK PLACE,TU8,3543.75
MOSHOLU PKWY,MO4,7245.0
47-50 STS ROCK,TU4,2468.0
SOUTH FERRY,WE4,10516.25
PATH WTC,TH20,27039.8616012
JACKSON AV,TU0,557.5
FAR ROCKAWAY,TH8,3992.0
CRESCENT ST,WE8,5517.5
JUNCTION BLVD,TU0,1000.0
W 4 ST-WASH SQ,WE20,41116.75
ROOSEVELT ISLND,WE4,3215.0
80 ST,WE12,2985.25
182-183 STS,TU16,3323.0
FLATBUSH AV-B.C,MO12,13399.5
75 AV,FR0,56.0
WHITLOCK AV,TH12,1330.0
CHAMBERS ST,TH12,72993.2528164
52 ST,TH16,4341.5
NEREID AV,SU20,798.5
FRESH POND RD,TH4,10410.75
MYRTLE-WILLOUGH,TU8,6746.5
HUNTS POINT AV,FR4,12263.25
PARKSIDE AV,WE12,4380.75
CHAUNCEY ST,SU12,2166.5
SENECA AVE,TH0,188.75
MT EDEN AV,SA4,2480.12
RIT-MANHATTAN,TH12,3995.75
CLARK ST,SA4,858.0
215 ST,SA16,1206.0
SUTPHIN-ARCHER,FR20,8180.0
233 ST,SA4,2235.75
163 ST-AMSTERDM,WE12,3880.25
HARRISON,TH20,1010.61884821
181 ST,WE4,23284.0
WORLD TRADE CTR,WE4,3468.0
BOROUGH HALL,FR0,1508.0
AVENUE P,MO8,3289.0
BROAD ST,WE4,934.5
NEW UTRECHT AV,FR20,1068.5
69 ST,MO0,462.25
RIT-MANHATTAN,TU4,639.25
CLINTON-WASH AV,TH0,595.75
BROOKLYN BRIDGE,FR20,5374.0
ALLERTON AV,TH0,765.5
FOREST HILLS 71,FR20,7253.25
BEACH 25 ST,TU20,452.0
69 ST,SU20,1229.75
231 ST,MO8,10007.0
65 ST,SA0,188.25
JAMAICA CENTER,SA16,17655.0
21 ST,FR4,633.75
FAR ROCKAWAY,TH20,1453.0
96 ST,SA20,26063.25
PELHAM BAY PARK,TU0,413.0
CORTLANDT ST,WE8,5594.5
LACKAWANNA,FR4,10012.1339323
5 AVE,SU20,3223.0
BOROUGH HALL,SA20,9377.0
CONEY IS-STILLW,SA16,22607.75
LORIMER ST,WE20,4355.75
THIRTY THIRD ST,FR12,19708.7786363
TOMPKINSVILLE,TH4,494.0
ALLERTON AV,FR0,790.75
SHEEPSHEAD BAY,SA16,5623.25
PELHAM PKWY,TU4,15230.5
53 ST,MO12,5284.0
METS-WILLETS PT,SA8,1913.125
182-183 STS,WE20,1505.0
CORTLANDT ST,FR0,780.5
52 ST,SA0,506.0
LIBERTY AV,WE12,2849.42302031
UTICA AV,TU12,13267.5968177
NEWARK C,WE0,537.996305617
E 149 ST,WE4,6104.0
3 AV,WE4,898.0
90 ST-ELMHURST,SU20,3217.0
85 ST-FOREST PK,TH0,215.0
CITY HALL,WE12,7965.0
NORWOOD 205 ST,MO4,10516.25
VAN SICLEN AV,SU16,2810.5
BURKE AV,WE16,1856.5
169 ST,WE12,8179.0
GRAND ST,WE16,46850.0
V.CORTLANDT PK,WE8,8443.0
207 ST,TH12,5578.0
HEWES ST,TH12,2338.75
42 ST-BRYANT PK,WE0,4324.0
HOYT-SCHER,MO20,3770.0
STEINWAY ST,MO0,961.0
174 ST,SA4,2555.75
JAMAICA 179 ST,WE20,3846.0
HOYT ST,TH4,1205.0
18 ST,SU0,974.0
65 ST,TH0,219.75
90 ST-ELMHURST,MO0,775.0
BOWERY,WE20,3555.0
EASTN PKWY-MUSM,FR20,992.0
CYPRESS AV,TH8,2953.01333838
36 AV,TU20,2021.0
47-50 STS ROCK,SU16,24286.0
NEPTUNE AV,TU0,141.0
161/YANKEE STAD,TU12,22481.5833333
PARKCHESTER,SU20,2971.75
E 149 ST,FR16,3571.0
CHRISTOPHER ST,FR16,19727.0954567
72 ST,FR20,22311.75
67 AV,FR20,1142.0
51 ST,MO8,10821.0
CROWN HTS-UTICA,WE8,39715.0
SMITH-9 ST,TH16,6178.0
KOSCIUSZKO ST,MO16,3251.0
207 ST,WE16,6421.0
JAY ST-METROTEC,TH20,16637.0
BEACH 67 ST,TU16,1650.0
34 ST-HERALD SQ,MO16,176165.0
JUNCTION BLVD,MO12,14583.0
KEW GARDENS,MO0,6335.75
39 AV,SA16,2281.0
FLATBUSH AV-B.C,SU12,7783.0
HIGH ST,FR8,8425.0
CRESCENT ST,FR8,5399.75
40 ST LOWERY ST,TU16,9785.0
BROADWAY,SU20,3831.25
34 ST-HERALD SQ,SU8,25012.0
FLATBUSH AV-B.C,SA8,8894.5
WILSON AV,MO20,406.0
RIT-ROOSEVELT,FR4,3316.25
BEACH 60 ST,FR16,1654.0
BRIGHTON BEACH,MO4,9136.0
BRIGHTON BEACH,TU0,315.0
AQUEDUCT RACETR,TU12,1262.0
KINGSTON-THROOP,TU4,4848.0
CYPRESS AV,TH20,1595.5
BEACH 105 ST,TH16,160.75
46 ST BLISS ST,WE16,11651.0
231 ST,TH4,10033.0
68ST-HUNTER CO,FR20,10787.0
WESTCHESTER SQ,SA8,2815.0
WESTCHESTER SQ,WE16,6645.0
BRIGHTON BEACH,TU20,4906.0
WILSON AV,TU0,117.0
STEINWAY ST,TH8,19057.0
EXCHANGE PLACE,SU4,1095.46711919
23 ST,MO8,59518.0
LAFAYETTE AV,WE0,785.75
BEDFORD PK BLVD,TH4,16108.0
BAY RIDGE AV,MO20,1619.0
BROOKLYN BRIDGE,FR8,12262.0
NEWARK HW BMEBE,SU0,31.3740348516
HUNTS POINT AV,SU4,2800.0
UTICA AV,TH4,17764.5
JAMAICA 179 ST,WE0,772.0
NEW UTRECHT AV,FR4,5356.25
170 ST,TU12,14607.25
225 ST,FR0,575.75
EAST BROADWAY,WE12,14005.0
BEDFORD-NOSTRAN,FR0,533.0
GRAND-NEWTOWN,WE16,10177.0
BAY RIDGE-95 ST,SA4,1048.0
LIVONIA AV,SA4,1367.0
MORISN AV/SNDVW,SU12,3678.0
191 ST,SA12,5016.0
MARBLE HILL-225,SU12,2667.0
BLEECKER ST,TU0,1776.0
GRD CNTRL-42 ST,WE20,95830.75
PAVONIA/NEWPORT,TH12,14689.8764514
BROOK AV,WE20,2058.25
168 ST,TU20,8037.0
7 AV,SA4,4308.75
104 ST,TU4,6966.0
CORTLANDT ST,TU12,11531.25
KINGSBRIDGE RD,MO8,14767.0
BROAD CHANNEL,TU16,121.75
40 ST LOWERY ST,SA16,5283.0
BOWERY,MO12,2961.0
WOODLAWN,TH0,486.0
W 4 ST-WASH SQ,TU4,14189.0
