STATION,SHIFT,COMB_SCORE,SCHOOLS,BUSINESS,TRAFFIC
PARSONS BLVD,MO16,0.101,0,0,4040.0
BURKE AV,WE12,0.06184375,0,0,2473.75
182-183 STS,SA20,0.7891,3,0,1564.0
METROPOLITAN AV,WE4,0.27325,0,0,10930.0
FT HAMILTON PKY,SA0,0.0136375,0,0,545.5
HUNTERS PT AV,FR12,0.66595,2,0,6638.0
TREMONT AV,WE20,0.56811875,2,0,2724.75
181 ST,TH8,0.6478,0,0,25912.0
WORLD TRADE CTR,TH8,0.54465,1,3,8786.0
GUN HILL RD,FR16,0.23285625,0,0,9314.25
COURT SQ-23 ST,TH0,0.508475,2,0,339.0
CITY HALL,FR8,0.3606,1,1,3424.0
QUEENS PLAZA,SU20,0.53205625,2,0,1282.25
HOWARD BCH JFK,SA8,0.07305625,0,0,2922.25
GRD CNTRL-42 ST,FR8,4.50140146992,7,9,101056.058797
104 ST,TH12,0.056175,0,0,2247.0
BLEECKER ST,WE4,0.6495,1,12,3980.0
ROOSEVELT ISLND,MO12,1.36795,5,0,4718.0
RECTOR ST,TH12,0.996,1,14,15840.0
ROOSEVELT ISLND,MO8,1.445725,5,0,7829.0
GRAND ST,WE4,0.22575,0,0,9030.0
175 ST,WE0,0.008675,0,0,347.0
18 AV,WE16,0.23431875,0,0,9372.75
176 ST,SA4,0.306425,1,0,2257.0
14 ST,TU0,1.47440625,5,2,6976.25
CONEY IS-STILLW,MO0,0.09045625,0,0,3618.25
MT EDEN AV,FR16,0.37497,1,0,4998.8
CHURCH AV,TU4,1.05854375,0,0,42341.75
FT HAMILTON PKY,TH12,0.254812946427,0,0,10192.5178571
181 ST,FR20,0.145875,0,0,5835.0
V.CORTLANDT PK,SA12,0.102840625,0,0,4113.625
KNICKERBOCKER,SU8,0.05093125,0,0,2037.25
BOTANIC GARDEN,WE12,0.31038125,1,0,2415.25
LAFAYETTE AV,FR4,0.8061125,3,0,2244.5
FRANKLIN ST,TU8,0.37233125,1,1,3893.25
GREENPOINT AV,MO0,0.013875,0,0,555.0
23 ST,FR4,3.32931875,8,31,22172.75
BROOK AV,TH4,0.40933125,1,0,6373.25
5 AVE,FR20,1.413,5,1,5520.0
WILSON AV,TH16,0.051625,0,0,2065.0
68ST-HUNTER CO,SU0,1.06900625,4,1,1760.25
OCEAN PKWY,SA12,0.0616,0,0,2464.0
149/GRAND CONC,WE0,0.278525,1,0,1141.0
BEACH 90 ST,SA0,0.00228125,0,0,91.25
CLARK ST,TH8,0.725425,2,0,9017.0
BROOKLYN BRIDGE,SA20,0.40355,1,1,5142.0
UTICA AV,MO12,0.31511625,0,0,12604.65
BUSHWICK AV,SA12,0.050125,0,0,2005.0
81 ST-MUSEUM,MO0,0.546325,2,1,853.0
CLINTON-WASH AV,SA20,0.33754375,1,0,3501.75
OCEAN PKWY,FR20,0.016575,0,0,663.0
KINGSTON-THROOP,TH12,0.1316,0,0,5264.0
