station,time,schools,tech,traffic,comb_score
23 ST,16,8,31,65091.4375,0.525254372795
23 ST,12,8,31,57476.125,0.508000485024
23 ST,20,8,31,35249.0625,0.457640996578
34 ST-PENN STA,16,7,12,95758.4725226,0.449933300224
23 ST,8,8,31,24402.875,0.433066968674
34 ST-PENN STA,12,7,12,87132.263964,0.430389041947
34 ST-HERALD SQ,16,7,12,86157.9444444,0.428181542302
23 ST,0,8,31,11890.0,0.404716754425
23 ST,4,8,31,5349.0,0.389896918744
34 ST-HERALD SQ,12,7,12,64306.8888889,0.37867396658
34 ST-PENN STA,20,7,12,60110.1810811,0.369165555004
GRD CNTRL-42 ST,16,7,9,61527.375,0.353021629153
34 ST-PENN STA,8,7,12,50870.5566507,0.348231490517
GRD CNTRL-42 ST,12,7,9,59042.2525817,0.34739112833
34 ST-HERALD SQ,20,7,12,50172.0,0.346648782249
28 ST,16,9,14,24360.9226191,0.345516720725
28 ST,12,9,14,23587.0955414,0.343763473494
14 ST-UNION SQ,16,5,7,80307.1916667,0.338223079392
TIMES SQ-42 ST,16,6,6,68101.5,0.326339454668
28 ST,20,9,14,15526.8452381,0.325501497489
28 ST,8,9,14,14656.327381,0.323529179556
14 ST-UNION SQ,12,5,7,67030.0521857,0.30814128373
TIMES SQ-42 ST,20,6,6,59002.0,0.305722867788
28 ST,0,9,14,6354.73214286,0.304720392319
42 ST-PORT AUTH,16,6,6,57776.25,0.302945706255
33 ST,12,9,11,14096.25,0.302905382774
33 ST,16,9,11,13322.0,0.301151177335
28 ST,4,9,14,4324.1547619,0.30011974668
34 ST-HERALD SQ,8,7,12,27449.3083333,0.295166354985
GRD CNTRL-42 ST,8,7,9,35645.3391159,0.294381127869
GRD CNTRL-42 ST,20,7,9,34525.0,0.291842794035
33 ST,8,9,11,8894.0,0.291118730859
33 ST,20,9,11,8724.75,0.290735263929
42 ST-PORT AUTH,12,6,6,52125.25,0.290142328876
42 ST-PORT AUTH,20,6,6,47928.0,0.280632688865
14 ST-UNION SQ,20,5,7,54468.1,0.279679876112
33 ST,0,9,11,3393.9375,0.278657330081
33 ST,4,9,11,2339.4375,0.276268166846
TIMES SQ-42 ST,12,6,6,43869.0,0.271436279596
34 ST-PENN STA,0,7,12,16380.8175675,0.270088658243
34 ST-HERALD SQ,0,7,12,15153.1472222,0.267307145815
34 ST-PENN STA,4,7,12,13742.4864865,0.264111035082
42 ST-PORT AUTH,8,6,6,36373.6706566,0.254454235681
34 ST-HUDSON YD,16,7,12,7591.5,0.250174846578
34 ST-HERALD SQ,4,7,12,7416.72777778,0.24977886804
34 ST-HUDSON YD,12,7,12,5930.625,0.246411829518
34 ST-HUDSON YD,20,7,12,3055.0,0.239896573444
GRD CNTRL-42 ST,0,7,9,11303.25,0.239229658547
34 ST-HUDSON YD,8,7,12,2426.5,0.238472591373
18 ST,16,8,7,5468.0,0.235327825401
34 ST-HUDSON YD,0,7,12,1006.5,0.235255320823
34 ST-HUDSON YD,4,7,12,687.875,0.234533417422
18 ST,12,8,7,4747.0,0.233694267608
59 ST COLUMBUS,16,4,1,59878.0,0.231005097561
TIMES SQ-42 ST,0,6,6,25958.0,0.23085562268
GRD CNTRL-42 ST,4,7,9,6916.625,0.229290954725
18 ST,20,8,7,2611.0,0.228854767682
TIMES SQ-42 ST,8,6,6,24688.5,0.227979337494
18 ST,8,8,7,1843.0,0.227114722765
18 ST,0,8,7,1065.5,0.225353153855
18 ST,4,8,7,521.5,0.224120622038
14 ST,16,5,2,42678.375,0.22071002636
14 ST-UNION SQ,8,5,7,28098.75,0.219935275283
42 ST-PORT AUTH,0,6,6,20584.0,0.218679839627
42 ST-BRYANT PK,16,6,6,19797.5,0.216897879565
47-50 STS ROCK,16,6,3,26589.5,0.212931563091
14 ST-UNION SQ,0,5,7,21983.8333333,0.206080809574
42 ST-PORT AUTH,4,6,6,13971.0,0.203696874734
42 ST-BRYANT PK,20,6,6,13150.5,0.201837881434
14 ST,12,5,2,34092.125,0.201256301529
42 ST-BRYANT PK,12,6,6,12554.5,0.200487534076
59 ST COLUMBUS,12,4,1,44040.0,0.195121202511
PRINCE ST,16,2,15,22476.5,0.192143272864
47-50 STS ROCK,12,6,3,16825.5,0.190809429535
49 ST,16,6,1,22349.0,0.190420706463
TIMES SQ-42 ST,4,6,6,7888.5,0.189915854931
14 ST,20,5,2,28234.875,0.187985626932
125 ST,12,3,0,53166.5175006,0.187125167371
47-50 STS ROCK,20,6,3,14714.0,0.186025438855
42 ST-BRYANT PK,0,6,6,6109.0,0.185884071168
42 ST-BRYANT PK,8,6,6,5546.5,0.184609624207
125 ST,16,3,0,51253.0,0.18278974237
49 ST,20,6,1,18302.5,0.181252618237
6 AV,16,6,6,3230.5,0.179362301254
6 AV,12,6,6,2761.0,0.178298562857
14 ST-UNION SQ,4,5,7,9644.79166666,0.178124446638
51 ST,16,6,3,10886.75,0.177354101733
6 AV,20,6,6,1988.5,0.176548322364
51 ST,12,6,3,10388.1238318,0.176224372658
B'WAY-LAFAYETTE,16,2,14,18212.0,0.176029652735
42 ST-BRYANT PK,4,6,6,1668.5,0.175823303649
5 AV/53 ST,16,6,5,4408.25,0.175579097076
PRINCE ST,12,2,15,14537.0,0.174154878827
6 AV,8,6,6,922.5,0.174133103768
5 AV/53 ST,12,6,5,3738.75,0.174062221982
6 AV,0,6,6,661.5,0.173541760379
49 ST,12,6,1,14818.0,0.173357844131
6 AV,4,6,6,208.0,0.172514272918
CANAL ST,16,1,3,57446.375,0.171732364095
5 AV/53 ST,20,6,5,2245.25,0.170678423696
51 ST,8,6,3,7255.91433022,0.169127777316
5 AV/53 ST,8,6,5,1320.0,0.168582100051
5 AV/53 ST,0,6,5,860.5,0.167541018489
47-50 STS ROCK,0,6,3,6297.0,0.166955180954
47-50 STS ROCK,8,6,3,6236.03604603,0.16681705593
59 ST COLUMBUS,20,4,1,31512.0,0.1667367198
5 AV/53 ST,4,6,5,250.75,0.166159517984
51 ST,20,6,3,5916.0,0.166091955546
B'WAY-LAFAYETTE,12,2,14,12931.332895,0.164065332481
8 ST-NYU,16,4,6,15853.0,0.16351644661
PRINCE ST,20,2,15,9211.9,0.162089887697
49 ST,8,6,1,9549.0,0.161419957843
86 ST,16,0,0,71178.875,0.161268801633
86 ST,12,0,0,70718.625,0.160226020808
72 ST,16,3,0,40542.125,0.158522289763
51 ST,0,6,3,2364.75,0.158045947066
B'WAY-LAFAYETTE,20,2,14,10211.75,0.157903618427
47-50 STS ROCK,4,6,3,1951.5,0.157109653366
14 ST,8,5,2,14175.75,0.156132099593
WALL ST,16,1,15,16042.0,0.155342510251
WALL ST,12,1,15,16041.75,0.155341943831
51 ST,4,6,3,994.333333333,0.154941016656
8 ST-NYU,20,4,6,11967.0,0.154712000584
8 ST-NYU,12,4,6,11787.5,0.154305310398
49 ST,0,6,1,6042.5,0.1534753387
14 ST,0,5,2,12475.5,0.152279871246
CANAL ST,12,1,3,48234.6040269,0.150861406725
FULTON ST,16,3,0,36975.8125,0.150442154426
LEXINGTON AV/53,16,5,2,11210.5,0.149413781636
72 ST,12,3,0,36414.0,0.149169265122
PRINCE ST,8,2,15,3168.6,0.148397682686
LEXINGTON AV/53,12,5,2,10303.5,0.147358806715
125 ST,8,3,0,35389.375,0.146847789181
PRINCE ST,0,2,15,2204.8,0.146214016943
59 ST COLUMBUS,8,4,1,22181.5,0.145596760035
